   input,  output, for,if,while,Exp,   fc,FNP
0.00070579,0.000885536,0.0076592,0.00101137,0.0011154,0.00242764,0.00598891,0
0,0,0.00293602,0.00259518,0.0014538,0.00206973,0.0056514,0
0,0,0.00193602,0.00250518,0.0014538,0.00440064,0.0053514,1
0,0,0.00193602,0.00250518,0.0014538,0.00440064,0.0053514,1
0,0,0.00193602,0.00250518,0.0014538,0.00440064,0.0053514,1
0,0,0.00193602,0.00250518,0.0014538,0.00440064,0.0053514,1
0,0,0.00193602,0.00250518,0.0014538,0.00440064,0.0053514,1
0,0,0.001893602,0.00230518,0.0014538,0.00206973,0.0053514,0
0,0,0.00164274,0.0025169,0.00135319,0.00454209,0.00531991,1
0.00063282,0.00099053,0.00368935,0.00115462,0.0013015,0.00281795,0.00524674,0
0.00067313,0.00085447,0.00312356,0.00233042,0.00119717,0.00334307,0.00522147,0
7.00E-05,1.15E-03,2.52E-03,1.42E-03,1.21E-03,0.00206973,5.21E-03,0
7.00E-05,2.22E-04,1.15E-03,1.42E-03,1.21E-03,0.00206973,5.21E-03,0
0,0,0.00166192,0.00226802,0.00133064,0.00414725,0.00518221,1
0,0,0.00176617,0.002454449,0.001554706,0.002065573,0.0050775,0
0,0,0.00178112,0.00197096,0.00084698,0.0042742,0.00505614,1
0,0.00024169,0.00180542,0.00229295,0.00142188,0.00398765,0.00501036,1
0,0.00024169,0.00180542,0.00229295,0.00142188,0.00398765,0.00501036,1
1.33E-03,2.29E-03,6.21E-03,4.43E-05,1.15E-03,0.00206973,4.86E-03,0
1.33E-03,2.29E-03,6.21E-03,2.88E-05,0.00E+00,1.43E-03,4.86E-03,0
0,0,0.001717,0.00235487,0.00114206,0.00206273,0.0047775,0
0,0.0002451,0.00160435,0.00161188,0.00123294,0.00272413,0.00445808,1
0,0.0005796,0.00164894,0.00185681,0.00057454,0.00324752,0.00438549,1
0,0,0.00207612,0.0024446,0.00105741,0.00453489,0.00418328,1
0,0,0.00167303,0.00158991,0.00039076,0.00300032,0.00414117,1
0,0,0.0013905,0.00134737,0.00014018,0.00301557,0.00346534,1
0.00E+00,0.00E+00,1.66E-03,1.38E-03,2.63E-06,2.70E-03,3.44E-03,1
0,0,0.00174496,0.0043267,0.000899933,0.003565337,0.003251151,0
0,0,0.00166196,0.00504967,0.00079033,0.00206973,0.00325051,0
0,0,0.00130196,0.0024967,0.00098033,0.00106973,0.00325051,0
